category,scientific_name,common_names,conservation_status,park_name,observations
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",,Yellowstone National Park,263
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",,Yosemite National Park,160
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",,Bryce National Park,68
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",,Great Smoky Mountains National Park,112
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",,Yellowstone National Park,243
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",,Yosemite National Park,150
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",,Bryce National Park,95
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",,Great Smoky Mountains National Park,96
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",,Bryce National Park,90
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",,Yellowstone National Park,245
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",,Yosemite National Park,144
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",,Great Smoky Mountains National Park,80
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",,Yosemite National Park,143
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",,Yellowstone National Park,229
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",,Bryce National Park,108
Bird,Acanthus flammea,"Common Redpoll, Redpoll",,Great Smoky Mountains National Park,68
Bird,Acanthus flammea,"Common Redpoll, Redpoll",,Bryce National Park,95
Bird,Acanthus flammea,"Common Redpoll, Redpoll",,Yosemite National Park,120
Bird,Acanthus flammea,"Common Redpoll, Redpoll",,Yellowstone National Park,241
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,Bryce National Park,95
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,Yosemite National Park,138
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,Yellowstone National Park,245
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,Great Smoky Mountains National Park,65
Bird,Accipiter gentilis,Northern Goshawk,,Great Smoky Mountains National Park,78
Bird,Accipiter gentilis,Northern Goshawk,,Yellowstone National Park,232
Bird,Accipiter gentilis,Northern Goshawk,,Yosemite National Park,163
Bird,Accipiter gentilis,Northern Goshawk,,Bryce National Park,109
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,Yosemite National Park,115
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,Yellowstone National Park,200
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,Bryce National Park,62
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,Great Smoky Mountains National Park,69
Vascular Plant,Acer glabrum,Rocky Mountain Maple,,Bryce National Park,30
Vascular Plant,Acer glabrum,Rocky Mountain Maple,,Yosemite National Park,124
Vascular Plant,Acer glabrum,Rocky Mountain Maple,,Great Smoky Mountains National Park,123
Vascular Plant,Acer glabrum,Rocky Mountain Maple,,Yellowstone National Park,247
Vascular Plant,Acer glabrum var. torreyi,Torrey's Maple,,Yellowstone National Park,282
Vascular Plant,Acer glabrum var. torreyi,Torrey's Maple,,Bryce National Park,84
Vascular Plant,Acer glabrum var. torreyi,Torrey's Maple,,Great Smoky Mountains National Park,75
Vascular Plant,Acer glabrum var. torreyi,Torrey's Maple,,Yosemite National Park,160
Vascular Plant,Acer leucoderme,Chalk Maple,,Yosemite National Park,140
Vascular Plant,Acer leucoderme,Chalk Maple,,Yellowstone National Park,256
Vascular Plant,Acer leucoderme,Chalk Maple,,Bryce National Park,125
Vascular Plant,Acer leucoderme,Chalk Maple,,Great Smoky Mountains National Park,107
Vascular Plant,Acer macrophyllum,Bigleaf Maple,,Great Smoky Mountains National Park,33
Vascular Plant,Acer macrophyllum,Bigleaf Maple,,Yosemite National Park,134
Vascular Plant,Acer macrophyllum,Bigleaf Maple,,Bryce National Park,105
Vascular Plant,Acer macrophyllum,Bigleaf Maple,,Yellowstone National Park,252
Vascular Plant,Acer negundo,"Boxelder, Box-Elder",,Great Smoky Mountains National Park,72
Vascular Plant,Acer negundo,"Boxelder, Box-Elder",,Yellowstone National Park,257
Vascular Plant,Acer negundo,"Boxelder, Box-Elder",,Yosemite National Park,179
Vascular Plant,Acer negundo,"Boxelder, Box-Elder",,Bryce National Park,92
Vascular Plant,Acer negundo var. violaceum,Boxelder,,Bryce National Park,91
Vascular Plant,Acer negundo var. violaceum,Boxelder,,Great Smoky Mountains National Park,84
Vascular Plant,Acer negundo var. violaceum,Boxelder,,Yosemite National Park,164
Vascular Plant,Acer negundo var. violaceum,Boxelder,,Yellowstone National Park,222
Vascular Plant,Acer nigrum,Black Maple,,Yellowstone National Park,258
Vascular Plant,Acer nigrum,Black Maple,,Yosemite National Park,156
Vascular Plant,Acer nigrum,Black Maple,,Great Smoky Mountains National Park,86
Vascular Plant,Acer nigrum,Black Maple,,Bryce National Park,110
Vascular Plant,Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",,Bryce National Park,91
Vascular Plant,Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",,Yosemite National Park,134
Vascular Plant,Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",,Great Smoky Mountains National Park,96
Vascular Plant,Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",,Yellowstone National Park,284
Vascular Plant,Acer platanoides,Norway Maple,,Great Smoky Mountains National Park,53
Vascular Plant,Acer platanoides,Norway Maple,,Bryce National Park,83
Vascular Plant,Acer platanoides,Norway Maple,,Yellowstone National Park,243
Vascular Plant,Acer platanoides,Norway Maple,,Yosemite National Park,189
Vascular Plant,Acer rubrum var. rubrum,Red Maple,,Bryce National Park,114
Vascular Plant,Acer rubrum var. rubrum,Red Maple,,Great Smoky Mountains National Park,67
Vascular Plant,Acer rubrum var. rubrum,Red Maple,,Yellowstone National Park,274
Vascular Plant,Acer rubrum var. rubrum,Red Maple,,Yosemite National Park,147
Vascular Plant,Acer rubrum var. trilobum,Trident Maple,,Great Smoky Mountains National Park,105
Vascular Plant,Acer rubrum var. trilobum,Trident Maple,,Bryce National Park,99
Vascular Plant,Acer rubrum var. trilobum,Trident Maple,,Yosemite National Park,110
Vascular Plant,Acer rubrum var. trilobum,Trident Maple,,Yellowstone National Park,251
Vascular Plant,Acer saccharinum,Silver Maple,,Yosemite National Park,167
Vascular Plant,Acer saccharinum,Silver Maple,,Yellowstone National Park,229
Vascular Plant,Acer saccharinum,Silver Maple,,Great Smoky Mountains National Park,86
Vascular Plant,Acer saccharinum,Silver Maple,,Bryce National Park,121
Vascular Plant,Acer saccharum,Sugar Maple,,Great Smoky Mountains National Park,59
Vascular Plant,Acer saccharum,Sugar Maple,,Yosemite National Park,116
Vascular Plant,Acer saccharum,Sugar Maple,,Yellowstone National Park,236
Vascular Plant,Acer saccharum,Sugar Maple,,Bryce National Park,124
Vascular Plant,Acer spicatum,Mountain Maple,,Yellowstone National Park,263
Vascular Plant,Acer spicatum,Mountain Maple,,Bryce National Park,89
Vascular Plant,Acer spicatum,Mountain Maple,,Great Smoky Mountains National Park,82
Vascular Plant,Acer spicatum,Mountain Maple,,Yosemite National Park,143
Vascular Plant,Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",,Yosemite National Park,168
Vascular Plant,Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",,Great Smoky Mountains National Park,45
Vascular Plant,Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",,Yellowstone National Park,270
Vascular Plant,Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",,Bryce National Park,99
Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,,Bryce National Park,119
Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,,Yellowstone National Park,277
Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,,Great Smoky Mountains National Park,87
Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,,Yosemite National Park,131
Vascular Plant,Achnatherum X bloomeri,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",,Yellowstone National Park,261
Vascular Plant,Achnatherum X bloomeri,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",,Bryce National Park,91
Vascular Plant,Achnatherum X bloomeri,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",,Yosemite National Park,155
Vascular Plant,Achnatherum X bloomeri,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",,Great Smoky Mountains National Park,82
Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern,Yellowstone National Park,219
Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern,Yosemite National Park,165
Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern,Bryce National Park,122
Vascular Plant,Achnatherum contractum,Contracted Ricegrass,Species of Concern,Great Smoky Mountains National Park,43
Vascular Plant,Achnatherum hymenoides,Indian Ricegrass,,Great Smoky Mountains National Park,88
Vascular Plant,Achnatherum hymenoides,Indian Ricegrass,,Yellowstone National Park,233
Vascular Plant,Achnatherum hymenoides,Indian Ricegrass,,Yosemite National Park,156
Vascular Plant,Achnatherum hymenoides,Indian Ricegrass,,Bryce National Park,90
Vascular Plant,Achnatherum latiglume,Sierra Needlegrass,,Bryce National Park,92
Vascular Plant,Achnatherum latiglume,Sierra Needlegrass,,Yosemite National Park,137
Vascular Plant,Achnatherum latiglume,Sierra Needlegrass,,Great Smoky Mountains National Park,76
Vascular Plant,Achnatherum latiglume,Sierra Needlegrass,,Yellowstone National Park,233
Vascular Plant,Achnatherum lemmonii,Lemmon's Needlegrass,,Yellowstone National Park,245
Vascular Plant,Achnatherum lemmonii,Lemmon's Needlegrass,,Yosemite National Park,149
Vascular Plant,Achnatherum lemmonii,Lemmon's Needlegrass,,Great Smoky Mountains National Park,100
Vascular Plant,Achnatherum lemmonii,Lemmon's Needlegrass,,Bryce National Park,87
Vascular Plant,Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",,Bryce National Park,63
Vascular Plant,Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",,Yosemite National Park,129
Vascular Plant,Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",,Great Smoky Mountains National Park,60
Vascular Plant,Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",,Yellowstone National Park,252
Vascular Plant,Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",,Bryce National Park,101
Vascular Plant,Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",,Great Smoky Mountains National Park,63
Vascular Plant,Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",,Yosemite National Park,151
Vascular Plant,Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",,Yellowstone National Park,221
Vascular Plant,Achnatherum nevadense,Nevada Needlegrass,,Yellowstone National Park,272
Vascular Plant,Achnatherum nevadense,Nevada Needlegrass,,Bryce National Park,74
Vascular Plant,Achnatherum nevadense,Nevada Needlegrass,,Yosemite National Park,149
Vascular Plant,Achnatherum nevadense,Nevada Needlegrass,,Great Smoky Mountains National Park,36
Vascular Plant,Achnatherum occidentale,Western Needlegrass,,Bryce National Park,106
Vascular Plant,Achnatherum occidentale,Western Needlegrass,,Yosemite National Park,171
Vascular Plant,Achnatherum occidentale,Western Needlegrass,,Yellowstone National Park,258
Vascular Plant,Achnatherum occidentale,Western Needlegrass,,Great Smoky Mountains National Park,73
Vascular Plant,Achnatherum occidentale ssp. californicum,California Needlegrass,,Bryce National Park,77
Vascular Plant,Achnatherum occidentale ssp. californicum,California Needlegrass,,Great Smoky Mountains National Park,93
Vascular Plant,Achnatherum occidentale ssp. californicum,California Needlegrass,,Yellowstone National Park,235
Vascular Plant,Achnatherum occidentale ssp. californicum,California Needlegrass,,Yosemite National Park,174
Vascular Plant,Achnatherum occidentale ssp. occidentale,"Western Needle Grass, Western Needlegrass",,Yosemite National Park,148
Vascular Plant,Achnatherum occidentale ssp. occidentale,"Western Needle Grass, Western Needlegrass",,Bryce National Park,122
Vascular Plant,Achnatherum occidentale ssp. occidentale,"Western Needle Grass, Western Needlegrass",,Great Smoky Mountains National Park,68
Vascular Plant,Achnatherum occidentale ssp. occidentale,"Western Needle Grass, Western Needlegrass",,Yellowstone National Park,233
Vascular Plant,Achnatherum occidentale ssp. pubescens,"Elmer's Needlegrass, Pubescent Western Needlegrass",,Yosemite National Park,148
Vascular Plant,Achnatherum occidentale ssp. pubescens,"Elmer's Needlegrass, Pubescent Western Needlegrass",,Bryce National Park,58
Vascular Plant,Achnatherum occidentale ssp. pubescens,"Elmer's Needlegrass, Pubescent Western Needlegrass",,Yellowstone National Park,202
Vascular Plant,Achnatherum occidentale ssp. pubescens,"Elmer's Needlegrass, Pubescent Western Needlegrass",,Great Smoky Mountains National Park,57
Vascular Plant,Achnatherum pinetorum,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",,Bryce National Park,101
Vascular Plant,Achnatherum pinetorum,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",,Yosemite National Park,129
Vascular Plant,Achnatherum pinetorum,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",,Yellowstone National Park,288
Vascular Plant,Achnatherum pinetorum,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",,Great Smoky Mountains National Park,75
Vascular Plant,Achnatherum richardsonii,"Richardson Needlegrass, Richardson's Needlegrass",,Bryce National Park,76
Vascular Plant,Achnatherum richardsonii,"Richardson Needlegrass, Richardson's Needlegrass",,Yellowstone National Park,255
Vascular Plant,Achnatherum richardsonii,"Richardson Needlegrass, Richardson's Needlegrass",,Yosemite National Park,143
Vascular Plant,Achnatherum richardsonii,"Richardson Needlegrass, Richardson's Needlegrass",,Great Smoky Mountains National Park,96
Vascular Plant,Achnatherum thurberianum,Thurber's Needlegrass,,Great Smoky Mountains National Park,73
Vascular Plant,Achnatherum thurberianum,Thurber's Needlegrass,,Yosemite National Park,148
Vascular Plant,Achnatherum thurberianum,Thurber's Needlegrass,,Yellowstone National Park,251
Vascular Plant,Achnatherum thurberianum,Thurber's Needlegrass,,Bryce National Park,71
Vascular Plant,Aconitum columbianum,Columbian Monkshood,,Yosemite National Park,136
Vascular Plant,Aconitum columbianum,Columbian Monkshood,,Great Smoky Mountains National Park,77
Vascular Plant,Aconitum columbianum,Columbian Monkshood,,Bryce National Park,63
Vascular Plant,Aconitum columbianum,Columbian Monkshood,,Yellowstone National Park,242
Vascular Plant,Aconitum columbianum ssp. columbianum,Columbian Monkshood,,Great Smoky Mountains National Park,91
Vascular Plant,Aconitum columbianum ssp. columbianum,Columbian Monkshood,,Yosemite National Park,162
Vascular Plant,Aconitum columbianum ssp. columbianum,Columbian Monkshood,,Yellowstone National Park,242
Vascular Plant,Aconitum columbianum ssp. columbianum,Columbian Monkshood,,Bryce National Park,112
Vascular Plant,Aconitum uncinatum,"Monk's Hood, Blue Monkshood",,Yosemite National Park,142
Vascular Plant,Aconitum uncinatum,"Monk's Hood, Blue Monkshood",,Great Smoky Mountains National Park,77
Vascular Plant,Aconitum uncinatum,"Monk's Hood, Blue Monkshood",,Bryce National Park,115
Vascular Plant,Aconitum uncinatum,"Monk's Hood, Blue Monkshood",,Yellowstone National Park,248
Vascular Plant,Acorus calamus,Sweetflag,,Great Smoky Mountains National Park,63
Vascular Plant,Acorus calamus,Sweetflag,,Yosemite National Park,178
Vascular Plant,Acorus calamus,Sweetflag,,Bryce National Park,121
Vascular Plant,Acorus calamus,Sweetflag,,Yellowstone National Park,232
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,,Yosemite National Park,132
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,,Yellowstone National Park,228
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,,Bryce National Park,112
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,,Great Smoky Mountains National Park,59
Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,,Great Smoky Mountains National Park,77
Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,,Yellowstone National Park,233
Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,,Bryce National Park,114
Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,,Yosemite National Park,131
Vascular Plant,Actaea pachypoda,White Baneberry,,Yosemite National Park,112
Vascular Plant,Actaea pachypoda,White Baneberry,,Great Smoky Mountains National Park,78
Vascular Plant,Actaea pachypoda,White Baneberry,,Bryce National Park,92
Vascular Plant,Actaea pachypoda,White Baneberry,,Yellowstone National Park,225
Vascular Plant,Actaea rubra,"Red Baneberry, Western Baneberry",,Bryce National Park,141
Vascular Plant,Actaea rubra,"Red Baneberry, Western Baneberry",,Great Smoky Mountains National Park,77
Vascular Plant,Actaea rubra,"Red Baneberry, Western Baneberry",,Yosemite National Park,151
Vascular Plant,Actaea rubra,"Red Baneberry, Western Baneberry",,Yellowstone National Park,219
Bird,Actitis macularia,Spotted Sandpiper,,Bryce National Park,91
Bird,Actitis macularia,Spotted Sandpiper,,Great Smoky Mountains National Park,66
Bird,Actitis macularia,Spotted Sandpiper,,Yellowstone National Park,265
Bird,Actitis macularia,Spotted Sandpiper,,Yosemite National Park,156
Bird,Actitis macularius,Spotted Sandpiper,,Great Smoky Mountains National Park,87
Bird,Actitis macularius,Spotted Sandpiper,,Yosemite National Park,181
Bird,Actitis macularius,Spotted Sandpiper,,Bryce National Park,86
Bird,Actitis macularius,Spotted Sandpiper,,Yellowstone National Park,290
Vascular Plant,Adenocaulon bicolor,American Trailplant,,Yosemite National Park,130
Vascular Plant,Adenocaulon bicolor,American Trailplant,,Bryce National Park,123
Vascular Plant,Adenocaulon bicolor,American Trailplant,,Yellowstone National Park,210
Vascular Plant,Adenocaulon bicolor,American Trailplant,,Great Smoky Mountains National Park,97
Vascular Plant,Adenostoma fasciculatum,Chamise,,Great Smoky Mountains National Park,57
Vascular Plant,Adenostoma fasciculatum,Chamise,,Yellowstone National Park,245
Vascular Plant,Adenostoma fasciculatum,Chamise,,Bryce National Park,128
Vascular Plant,Adenostoma fasciculatum,Chamise,,Yosemite National Park,148
Vascular Plant,Adiantum aleuticum,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",,Great Smoky Mountains National Park,112
Vascular Plant,Adiantum aleuticum,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",,Yellowstone National Park,231
Vascular Plant,Adiantum aleuticum,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",,Bryce National Park,114
Vascular Plant,Adiantum aleuticum,"Aleutian Maidenhair, Aleutian Maidenhair-Fern, Five-Finger Fern",,Yosemite National Park,152
Vascular Plant,Adiantum jordanii,"California Maidenhair, California Maidenhair Fern",,Yellowstone National Park,249
Vascular Plant,Adiantum jordanii,"California Maidenhair, California Maidenhair Fern",,Great Smoky Mountains National Park,62
Vascular Plant,Adiantum jordanii,"California Maidenhair, California Maidenhair Fern",,Bryce National Park,93
Vascular Plant,Adiantum jordanii,"California Maidenhair, California Maidenhair Fern",,Yosemite National Park,155
Vascular Plant,Adiantum pedatum,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",,Bryce National Park,94
Vascular Plant,Adiantum pedatum,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",,Yellowstone National Park,241
Vascular Plant,Adiantum pedatum,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",,Great Smoky Mountains National Park,110
Vascular Plant,Adiantum pedatum,"Northern Maiden-Hair Fern, Northern Maidenhair-Fern",,Yosemite National Park,127
Vascular Plant,Adlumia fungosa,Climbing Fumitory,,Great Smoky Mountains National Park,53
Vascular Plant,Adlumia fungosa,Climbing Fumitory,,Yosemite National Park,144
Vascular Plant,Adlumia fungosa,Climbing Fumitory,,Yellowstone National Park,246
Vascular Plant,Adlumia fungosa,Climbing Fumitory,,Bryce National Park,69
Vascular Plant,Adoxa moschatellina,Muskroot,,Great Smoky Mountains National Park,86
Vascular Plant,Adoxa moschatellina,Muskroot,,Yosemite National Park,155
Vascular Plant,Adoxa moschatellina,Muskroot,,Bryce National Park,121
Vascular Plant,Adoxa moschatellina,Muskroot,,Yellowstone National Park,250
Bird,Aechmophorus clarkii,Clark's Grebe,,Yosemite National Park,166
Bird,Aechmophorus clarkii,Clark's Grebe,,Yellowstone National Park,244
Bird,Aechmophorus clarkii,Clark's Grebe,,Bryce National Park,99
Bird,Aechmophorus clarkii,Clark's Grebe,,Great Smoky Mountains National Park,68
Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern,Yosemite National Park,132
Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern,Bryce National Park,80
Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern,Yellowstone National Park,233
Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern,Great Smoky Mountains National Park,64
Vascular Plant,Aegilops cylindrica,Jointed Goatgrass,,Great Smoky Mountains National Park,66
Vascular Plant,Aegilops cylindrica,Jointed Goatgrass,,Yellowstone National Park,245
Vascular Plant,Aegilops cylindrica,Jointed Goatgrass,,Yosemite National Park,149
Vascular Plant,Aegilops cylindrica,Jointed Goatgrass,,Bryce National Park,76
Bird,Aegolius,Saw-Whet Owls,,Great Smoky Mountains National Park,42
Bird,Aegolius,Saw-Whet Owls,,Yosemite National Park,191
Bird,Aegolius,Saw-Whet Owls,,Bryce National Park,95
Bird,Aegolius,Saw-Whet Owls,,Yellowstone National Park,263
Bird,Aegolius acadicus,Northern Saw-Whet Owl,,Great Smoky Mountains National Park,86
Bird,Aegolius acadicus,Northern Saw-Whet Owl,,Bryce National Park,131
Bird,Aegolius acadicus,Northern Saw-Whet Owl,,Yosemite National Park,91
Bird,Aegolius acadicus,Northern Saw-Whet Owl,,Yellowstone National Park,234
Bird,Aegolius funereus,Boreal Owl,,Bryce National Park,73
Bird,Aegolius funereus,Boreal Owl,,Great Smoky Mountains National Park,82
Bird,Aegolius funereus,Boreal Owl,,Yellowstone National Park,260
Bird,Aegolius funereus,Boreal Owl,,Yosemite National Park,167
Vascular Plant,Aegopodium podagraria,"Bishops Goutweed, Old Man's Beard",,Yellowstone National Park,249
Vascular Plant,Aegopodium podagraria,"Bishops Goutweed, Old Man's Beard",,Great Smoky Mountains National Park,52
Vascular Plant,Aegopodium podagraria,"Bishops Goutweed, Old Man's Beard",,Bryce National Park,112
Vascular Plant,Aegopodium podagraria,"Bishops Goutweed, Old Man's Beard",,Yosemite National Park,198
Bird,Aeronautes saxatalis,White-Throated Swift,,Yosemite National Park,178
Bird,Aeronautes saxatalis,White-Throated Swift,,Bryce National Park,95
Bird,Aeronautes saxatalis,White-Throated Swift,,Yellowstone National Park,264
Bird,Aeronautes saxatalis,White-Throated Swift,,Great Smoky Mountains National Park,77
Vascular Plant,Aesculus californica,California Buckeye,,Yosemite National Park,128
Vascular Plant,Aesculus californica,California Buckeye,,Bryce National Park,108
Vascular Plant,Aesculus californica,California Buckeye,,Yellowstone National Park,246
Vascular Plant,Aesculus californica,California Buckeye,,Great Smoky Mountains National Park,89
Vascular Plant,Aesculus flava,Yellow Buckeye,,Great Smoky Mountains National Park,73
Vascular Plant,Aesculus flava,Yellow Buckeye,,Yosemite National Park,119
Vascular Plant,Aesculus flava,Yellow Buckeye,,Bryce National Park,117
Vascular Plant,Aesculus flava,Yellow Buckeye,,Yellowstone National Park,212
Vascular Plant,Aesculus glabra,Ohio Buckeye,,Great Smoky Mountains National Park,94
Vascular Plant,Aesculus glabra,Ohio Buckeye,,Bryce National Park,76
Vascular Plant,Aesculus glabra,Ohio Buckeye,,Yosemite National Park,163
Vascular Plant,Aesculus glabra,Ohio Buckeye,,Yellowstone National Park,247
Vascular Plant,Aesculus pavia,Red Buckeye,,Yosemite National Park,164
Vascular Plant,Aesculus pavia,Red Buckeye,,Yellowstone National Park,199
Vascular Plant,Aesculus pavia,Red Buckeye,,Great Smoky Mountains National Park,49
Vascular Plant,Aesculus pavia,Red Buckeye,,Bryce National Park,133
